JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/kkt_run/kkt/../configs/cifar10_condition2_heuristics.json
Problem type: classification
Dataset: cifar10
Tasks: 10
AWB enabled: False

Output directory: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10
Model path: /home/kraghavan/projects/ContLearn/kkt_run/kkt/results/cifar10/model


############################################################
# Run 1 / 1
############################################################
Loading CIFAR-10 dataset
CIFAR-10 data loaded: 50000 samples

============================================================
Task 0
============================================================
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/250 [00:00<?, ?it/s]
  0%|          | 1/250 [00:58<4:03:52, 58.76s/it]
  1%|          | 2/250 [01:28<2:52:33, 41.75s/it]
  1%|          | 3/250 [02:01<2:36:05, 37.92s/it]
  2%|▏         | 4/250 [02:34<2:26:52, 35.82s/it]
  2%|▏         | 5/250 [03:06<2:21:10, 34.57s/it]
  2%|▏         | 6/250 [03:37<2:14:45, 33.14s/it]
  3%|▎         | 7/250 [04:09<2:12:32, 32.73s/it]
  3%|▎         | 8/250 [04:39<2:08:59, 31.98s/it]
  4%|▎         | 9/250 [05:11<2:07:48, 31.82s/it]
 18%|█▊        | 45/250 [24:05<1:46:03, 31.04s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 18%|█▊        | 46/250 [24:38<1:46:42, 31.39s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 19%|█▉        | 47/250 [25:10<1:46:52, 31.59s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 19%|█▉        | 48/250 [25:39<1:44:16, 30.97s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 20%|█▉        | 49/250 [26:15<1:48:14, 32.31s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 20%|██        | 50/250 [26:49<1:49:52, 32.96s/it, CE=1.140756e+00 H=1.128059e+00 dV_dx=8.364964e-07 dV_dθ=-1.269788e-02 ||∇||=4.247992e+00 | Tr=0.6065 Te/Cur=0.5958 Te/Exp=0.5933]
 20%|██        | 50/250 [27:25<1:49:52, 32.96s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 20%|██        | 51/250 [27:25<1:52:09, 33.82s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 21%|██        | 52/250 [27:55<1:47:49, 32.67s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 21%|██        | 53/250 [28:28<1:47:17, 32.68s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 22%|██▏       | 54/250 [29:02<1:48:39, 33.26s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 22%|██▏       | 55/250 [29:35<1:47:26, 33.06s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 22%|██▏       | 56/250 [30:07<1:45:40, 32.68s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
 23%|██▎       | 57/250 [30:37<1:43:12, 32.09s/it, CE=1.070046e+00 H=1.055327e+00 dV_dx=5.417004e-07 dV_dθ=-1.471963e-02 ||∇||=4.643768e+00 | Tr=0.6332 Te/Cur=0.6106 Te/Exp=0.6117]
